Date,Open,High,Low,Close,Contract
10/21/2019,432.75,437.25,424.75,425.5,Hard Red Winter Wheat
10/22/2019,424.75,433.75,420.5,421.25,Hard Red Winter Wheat
10/23/2019,421.25,425,418.5,423.25,Hard Red Winter Wheat
10/24/2019,424,426.75,418.5,419.5,Hard Red Winter Wheat
10/25/2019,420,425.25,417,422.75,Hard Red Winter Wheat
10/27/2019,null,null,null,null,Hard Red Winter Wheat
10/28/2019,423,423.25,415.5,417,Hard Red Winter Wheat
10/29/2019,417.75,421.75,415.5,419,Hard Red Winter Wheat
10/30/2019,419.25,422,416.25,418.25,Hard Red Winter Wheat
10/31/2019,418.5,420.75,410,419.75,Hard Red Winter Wheat
11/1/2019,418.5,427,417.5,426,Hard Red Winter Wheat
11/3/2019,null,null,null,null,Hard Red Winter Wheat
11/4/2019,424.75,427.5,421,423,Hard Red Winter Wheat
11/5/2019,423,430,421.5,428.5,Hard Red Winter Wheat
11/6/2019,428.75,432.25,426.25,427.75,Hard Red Winter Wheat
11/7/2019,427.5,429.25,420.25,424.75,Hard Red Winter Wheat
11/8/2019,424.25,430,417.75,421.5,Hard Red Winter Wheat
11/10/2019,null,null,null,null,Hard Red Winter Wheat
11/11/2019,421.25,425,418,422.75,Hard Red Winter Wheat
11/12/2019,424.5,439.25,423.5,438.75,Hard Red Winter Wheat
11/13/2019,438.5,439,423.75,424.75,Hard Red Winter Wheat
11/14/2019,427.25,429,418.75,422.25,Hard Red Winter Wheat
11/15/2019,421.75,423,416.5,417,Hard Red Winter Wheat
11/17/2019,null,null,null,null,Hard Red Winter Wheat
11/18/2019,416.75,424,413.25,418.5,Hard Red Winter Wheat
11/19/2019,417.5,427.75,417.5,425.75,Hard Red Winter Wheat
11/20/2019,426.25,429.75,422,426,Hard Red Winter Wheat
11/21/2019,426,429,420,421,Hard Red Winter Wheat
11/22/2019,421,427.25,420.25,424,Hard Red Winter Wheat
11/24/2019,null,null,null,null,Hard Red Winter Wheat
11/25/2019,424,436.5,424,435.5,Hard Red Winter Wheat
11/26/2019,435.25,435.75,427.75,432.5,Hard Red Winter Wheat
11/27/2019,431.75,435.75,423.75,426.75,Hard Red Winter Wheat
11/29/2019,null,null,null,null,Hard Red Winter Wheat
12/1/2019,null,null,null,null,Hard Red Winter Wheat
12/2/2019,439.75,445.5,432.25,437.25,Hard Red Winter Wheat
12/3/2019,440.25,444,422.5,422.5,Hard Red Winter Wheat
12/4/2019,425.5,425.5,425.25,425.25,Hard Red Winter Wheat
12/5/2019,426.75,426.75,420.25,420.25,Hard Red Winter Wheat
12/6/2019,415,415,415,415,Hard Red Winter Wheat
12/8/2019,null,null,null,null,Hard Red Winter Wheat
12/9/2019,415.25,415.5,411.5,411.5,Hard Red Winter Wheat
12/10/2019,416,416,416,416,Hard Red Winter Wheat
12/11/2019,416,416,415.5,415.5,Hard Red Winter Wheat
12/12/2019,427.5,427.5,427.5,427.5,Hard Red Winter Wheat
12/13/2019,427.5,427.5,427.5,427.5,Hard Red Winter Wheat
12/15/2019,null,null,null,null,Hard Red Winter Wheat
12/16/2019,444.5,467,444.5,462,Hard Red Winter Wheat
12/17/2019,461.25,468,456.25,467,Hard Red Winter Wheat
12/18/2019,464.25,467,459,462.25,Hard Red Winter Wheat
12/19/2019,462,467.75,459.25,460.5,Hard Red Winter Wheat
12/20/2019,460.5,464.75,457,462.25,Hard Red Winter Wheat
12/22/2019,null,null,null,null,Hard Red Winter Wheat
12/23/2019,461.5,466.75,458,458.5,Hard Red Winter Wheat
12/24/2019,null,null,null,null,Hard Red Winter Wheat
12/26/2019,461.5,471.75,460,470.5,Hard Red Winter Wheat
12/27/2019,471.75,481.5,471,479.75,Hard Red Winter Wheat
12/29/2019,null,null,null,null,Hard Red Winter Wheat
12/30/2019,482,485,474,480.5,Hard Red Winter Wheat
12/31/2019,480,487,477.5,486,Hard Red Winter Wheat
1/2/2020,485.25,496.75,483.5,485.25,Hard Red Winter Wheat
1/3/2020,485.25,486,473,475,Hard Red Winter Wheat
1/5/2020,null,null,null,null,Hard Red Winter Wheat
1/6/2020,472.5,479,469.5,477.25,Hard Red Winter Wheat
1/7/2020,476,477,470.5,475,Hard Red Winter Wheat
1/8/2020,473,482.75,469.75,480,Hard Red Winter Wheat
1/9/2020,480,492.75,479.25,490.25,Hard Red Winter Wheat
1/10/2020,490.25,498.25,484.75,494.75,Hard Red Winter Wheat
1/12/2020,null,null,null,null,Hard Red Winter Wheat
1/13/2020,496.5,496.5,488.25,492.75,Hard Red Winter Wheat
1/14/2020,491.25,500.75,490,497,Hard Red Winter Wheat
1/15/2020,496,504.25,493.75,496.5,Hard Red Winter Wheat
1/16/2020,496.75,496.75,482.25,484.75,Hard Red Winter Wheat
1/17/2020,485,496,480.5,494.25,Hard Red Winter Wheat
1/19/2020,null,null,null,null,Hard Red Winter Wheat
1/21/2020,495.25,500.75,487.75,500,Hard Red Winter Wheat
1/22/2020,499.75,504.75,491,492.5,Hard Red Winter Wheat
1/23/2020,492.5,496.25,490,492.25,Hard Red Winter Wheat
1/24/2020,492.5,493,483.75,486,Hard Red Winter Wheat
1/26/2020,null,null,null,null,Hard Red Winter Wheat
1/27/2020,483,487.75,476.5,486.5,Hard Red Winter Wheat
1/28/2020,486.75,490.25,480,482,Hard Red Winter Wheat
1/29/2020,482.75,485.5,471.25,472,Hard Red Winter Wheat
1/30/2020,471.75,473,463.25,471,Hard Red Winter Wheat
1/31/2020,471,473.75,463.5,465.5,Hard Red Winter Wheat
2/2/2020,null,null,null,null,Hard Red Winter Wheat
2/3/2020,464,468.75,458.5,466.75,Hard Red Winter Wheat
2/4/2020,464.25,475.25,464,467.25,Hard Red Winter Wheat
2/5/2020,467.75,474.75,467.5,473.75,Hard Red Winter Wheat
2/6/2020,473.75,477,467,467.75,Hard Red Winter Wheat
